reviewer,rating,title,date,body
B,5.0 out of 5 stars,"Amazing Pot, my favorite appliance ever.","Reviewed in the United States on January 17, 2014","I received my Instant Pot right before the end of the year as I had pre-ordered it. I had done a good amount of research on the previous model and was convinced it could replace my small slow cooker as well as diversify my cooking and reduce my time in the kitchen. The main improvements I liked on this model over the previous model was the holder for the lid on both sides of the handles of the pot, the larger display, and the main improvement I was interested in was the dual pressure setting (mainly comes in handy for veggies for me).

At first use it took a little getting used to this new appliance. Some of the features which take some getting used to for me were the pressure release valve, and how to use the electronic controls. When cooking in a pressure cooker using traditional methods it is necessary to set the pressure release valve to closed, this allows pressure to build up in the pot during cooking. During the first few times I had forgotten to twist the pressure release valve to closed. Not doing this will eventually cause a light whistling sound and steam to come out of the release. Twist it back and all is well. I mention this because I read a review giving this pot a 1 star rating, and I could tell they hadn't closed their pressure valve based on the results they said they achieved.

Once you have used it a few times you will remember to shut the valve, as I have. Once the valve is closed then the second part I found took some getting used to was the controls, but now I realize they couldn't be easier. This is truly set it and forget style here people. Once you close the valve on the lid and lock the lid in place (you will hear an electronic ""chime"" letting you know the lid is closed) then it's as easy as hitting the button labeled ""manual"" and choosing an amount of time with the selector. This will allow you to follow recipes for times if you'd like. You can also hit the ""pressure"" button to adjust between high and low pressure. There are also a whole bunch of pre programmed recipes, a slow cooker option and a convenient ""sauté"" function which I have used a number of times. 10 seconds after choosing your options the cooker will beep 3 times and the pot will start to heat up. (make sure again you have the pressure release valve closed here)

It takes varying amounts of time for the pot to heat up but usually it's between 5 and 10 minutes for the pot to create enough pressure to where it pushes up a metal lock on the back of the unit, this prevents you from opening the pot until the pot is at a safe pressure. Once the lock sets it's only a few minutes till the timer will count down on the pot letting you know how much time is left. So keep in mind it takes 20 minutes or so from start to finish to cook 10 minutes cook time on the pressure cooker. Sometimes it seems like nothing is happening, but if you listen carefully you will hear boiling in the pot whenever it is in cycle. Once the time is up the pot will stay locked until you release the pressure by twisting the pressure release valve, or by waiting for 10 minutes to an hour for the pressure to release naturally. This will drop the metal lock in the back so you can open up the pot. One feature i love is the keep warm function. After any cooking is completed the system automatically goes to ""keep warm."" One night i forgot my chili in the pot after cooking it, but woke up late at night on the couch to realize it was kept warm all night! Pressing the off button will toggle the keep warm function on and off.

The stainless steel cooking pot is very easy to clean, however 6 of 10 on the unit for ease of clean. I love the stainless steel insert especially, it is very thick and of high quality. I just ordered a second one so i can more easily cook and store a variety of different things without having to constantly be cleaning and moving containers and food.
It does take a bit of getting used to this seemingly complex cooker, but after a little reading of the manual (which is great by the way) and some experience you will be able to cook just about anything in the instant pot. I just started cooking in the last year and I'm cooking up some amazing soups, chilies, meats, rices, pastas, and vegetables all in my first couple weeks, and i'm a beginner!
After looking into the pressure settings (it runs at around 11.x PSI on high) I am able to better plan my cook times. Note: Many recipes I found for pressure cooking on high are for 15 PSI so I have had to add a few minutes to most recipes. I also live in Denver, CO so I have to add some cook time due to the higher altitude as well. I found some good info using google on how to adjust pressure cooking for altitude.

I would highly recommend picking up a food slicer with the instant pot as well. I am dicing onions, celery, carrots, pineapple, potatoes, and more in seconds instead of minutes, then with the help of the instant pot I've got that stuff cooked quick and served hot. The slicer in combination with the instant pot cuts my cook and prep time by a third to a half I would estimate, in some cases more. I got a top rated Borner slicer off Amazon for about $30, and it's worth every penny.
Most importantly the food tastes amazing, meats are tender, rice is well cooked, veggies are incredible. I would recommend this Pressure cooker to anyone in the market for a replacement slow cooker, someone looking to cook more quickly, anyone looking to eat healthier, and for any person without access to a stove.

I plan on purchasing more as gifts for family in the future. For those of you ordering an Instant Pot: Your only regret will be that you didn't get one sooner!
Read more"
Love st jean,5.0 out of 5 stars,Very good,"Reviewed in the United States on July 30, 2025","I’m really satisfied with this pressure cooker! It’s easy to use, cooks food quickly, and saves a lot of time in the kitchen. I use it for rice, sauces, beans, and even meat, and everything comes out perfectly cooked. It’s sturdy, high quality, and doesn’t take up much space. The lid seals well and it’s safe to use. A great purchase that I don’t regret ."
CHARLES E DAVENPORT,5.0 out of 5 stars,Buy One,"Reviewed in the United States on July 17, 2025","Have been trying to get my yogurt process going. Runny yogurt isn't what I want. We eat so much of it, the thick, strained Greek is what we are after. Has to be plain because with what we have coming out of the garden all the fruits needed are taken care of. The 7.5 quart INSTAPOT has the settings we need for a gallon batch at a time; start the process at night. Ferment all night. Drain in the strainers all day. Repeat, repeat, repeat for several days and you have a quite backlog. Learning to use the whey - the stuff is nasty to the 'uninitiated.' But it winds up as a protein supplement, literally everywhere. My weight is down, my BP is 80/114. And people ask what 'diet' I'm on. At 73, I tell them, ""Not Oprah's!"""
机器人 (robot),5.0 out of 5 stars,Where's my knife and fork? I'm ready to eat!,"Reviewed in the United States on August 10, 2014","This is my first ever pressure cooker. I had been researching different models for the past several months before deciding on this Instant Pot. There were several reasons why I chose this one.

1. It has a stainless steel inner pot. I stay away from anything with a non-stick coating on it.
2. It has the most functions such as pressure cooker, slow cooker, rice cooker, steamer, yogurt maker, etc. With limited space, it's best to have as many functions in one unit as possible.
3. Spare parts such as gaskets for the lid, pressure valves, and extra pots are readily available. For future longevity of the product, I know I can easily find replacement parts when mine wear out. It would be a shame if I had to throw the whole thing out just because I need a new gasket for the lid but can't find one anywhere.
4. It has the best reviews here on Amazon. I know you can't always tell if reviews are legit, so this may just be a psychological thing.

I never used an appliance like this before so I needed to read the instruction manual to learn how to use it. The manual is pretty easy to understand but everything is much clearer if you follow along the directions while you're actually using the machine. I made my first ever pressure cooker dinner, Chicken Parmesean, in my Instant Pot. It was very easy and very delicious. The chicken breasts were moist and tender. I can't wait to try more recipes. It does come with a small recipe book written in both English and Chinese, but I'm gonna go to the library to find a book with more recipes.

It's a very cool looking machine, kind of like a robot. I'm thinking of giving it a name. It communicates to you with all sorts of beeps, even when you're putting on or taking off the lid. Everything about the machine seems to be well built and sturdy. The inner pot is made of heavy duty stainless steel with an aluminum encapsulated base, and is polished to a very shiny finish. I think the only complaint I may have about the machine is that the lid is a bit difficult to wash because of all the creases and crevices on the underside. But overall, I am very happy with this purchase and would recommend. I wish I bought this 10 years ago.

One word of caution!!! Do not order this from the ""seller"" Nexlus.com. Nexlus.com is a fraudulent website. They occasionally list themselves as an other seller on Amazon, offering this Instant Pot for $99 with free shipping. It seems very tempting, but I have been taking a very close look at their website and see all signs of fraud including the use of ever changing PayPal accounts and the fact that their Contact Us page is linked to a totally different website called pretendplays.com. Once again, I would strongly recommend staying away from Nexlus.com. Play it safe. Do what I did and order it directly from Amazon.

Update 8/26/2014: Good news! The fraudulent site nexlus.com has been shut down.

Update 9/21/2014: After having this Instant Pot for over a month, I have to say I've been using it more than I ever expected. And I don't need to use my big regular oven as much anymore. I've mostly been using it as a pressure cooker, but also as a rice cooker and slow cooker. It has made cooking real food much more convenient especially during busy nights when I don't really have time to plan what to cook. On one such night, I threw in some whole potatoes, some pork chops seasoned with salt & pepper, and 3/4 cups water, Cooked it on high pressure for 10 mins, then released the pressure and threw in some corn on the cob. Cooked it on high pressure for another 4 mins. Everything came out great. The corn was cooked to perfection, the pork chops were tender and juicy, and the potatoes were nice and moist, unlike when I nuke them in the microwave. It was so simple and all done in one pot. Really great!

Update 11/13/2014: This Instant Pot is truly an energy efficient cooker. Over the past several months of using it on a regular basis, I have seen a very definite decrease in both my gas and electricity bills. How often, if ever, do you see your bills go down? Love it.

Update 2/1/2015: After using this Instant Pot for 6 months now, I am still just as excited about using it as I was the day I first got it. I frequently cook whole chickens in it, ranging from 4 to 7 lbs without any problems. I've also used it to make Chinese Tea Eggs. I actually think the eggs came out better than when I make them on the stovetop and in less time too.

So Instant Pot recently released the Bluetooth enabled IP-Smart. When I was first thinking of buying a pressure cooker months ago, I had heard that it was in the works and would be released sometime in December. I was intrigued by it, but decided not to wait and so I bought the IP-Duo60. Now that the IP-Smart has been released, I think I made the right choice. The IP-Smart is double the price of the IP-Duo60. I don't think the extra benefits are worth the extra cost. After all, you still have to be in the kitchen to load the food into the cooker. And with Bluetooth being short range, you can't venture too far away without losing the signal. I think the IP-Duo60 is perfect as it is. I just load in the food, set the cooking time then walk away and do other things. I never feel the need to check on it. It's simple and easy.

Update 7/12/2016: I've had my Instant Pot for nearly 2 years now. It's still working great. I've had zero issues with it. I haven't even replaced the lid gasket yet. When I first got the Pot, I would use it about once a week. Over time, as I gained more expertise in cooking with it, I now use it just about every day. I'm even at the point where I sometimes need two pressure cookers. I'm seriously considering buying another one."
Corali-Namar López,5.0 out of 5 stars,Best Pressure/instant pod,"Reviewed in the United States on August 5, 2025",Excellent purchase. Very user friendly and faster compared to other brands. Cook time is lees than others. Functionality is top since you have multiple options. Your cooking has the most intense flavor for your recipes. Heat up time is less than others.
Mona Lisa (M.W.),5.0 out of 5 stars,My new kitchen friend! (Update),"Reviewed in the United States on January 15, 2014","Some of the positive reviews here have expressed many wonderful aspects about the Instant pot which I don't feel the need to repeat. I agree with all of them!
I've been a stove top pressure cooker person for over 20 years and wasn't really very knowledgable about electric pressure cookers. Lately I've been searching online for pressure cooker recipes and I started noticing how many people love their electric pressure cookers. I was drawn to the convenience of ""set it and forget it"" as well as the many other functions electric pressure cookers offer.

Addressing Cook's Illustrated advice on pressure cookers:
In spite of what Cook's Illustrated said about electric pressure cookers, to me electric pots like this that perform several functions should not quite be placed in the same category as stove top pressure cookers. In my opinion they should not be tested together unless one is a designated Electric Pressure Cooker with no other features on it. It's almost trying to compare apples to oranges, so to speak. (BTW I am a Cook's Illustrated addict!- I learned to cook from them...)

Although I have not had the Instant Pot long I can tell it will be a very useful time saving addition to my kitchen right along side my regular pressure cooker. I have two stove top pressure cookers, and have tried to use both to cook two different things at the same time but found it too cumbersome and attention draining to use both at once. Not a problem with the Instant pot! It's easy to fire both of them up simutaneously because Instant Pot takes over and requires very little monitoring. Example: We love greens and now I can plop them in the Instant Pot while I have something going in the Kuhn Rikon. Perfect! Talk about a fast dinner! Easy cleanup too.
Note: Pressure cooking retains up to 90% of nutritional value of food over stove top methods,...as well as easier cleanup. That includes no wiping off the top of your cooktop/range.

I chose the Instant Pot because after researching all of the other brands it appeared to be the cooker with the least complaints, as well as the fact that it came with a stainless steel bowl. Healthier and nothing to peel off!
I was ready to order last year's model but saw that this new model was about to be released and that it also made yogurt which is a huge plus for us, so I waited.

I'm really impressed with the quality of this cooker! It feels and looks like it was very well thought out and constructed.
It's channel on youtube is very thorough, covering every detail about InstantPot including instruction for usage as well as troubleshooting and care.

After receiving, having watched most of the videos on youtube, I carefully went through the manual and went through the trial run which the manual suggested to try first. From there on it was smooth sailing and easy to figure out. Both dishes I tested which were brown rice and Ossobuco turned out delicious. I will make a change in the Ossobuco next time. I used ""Stew Normal"" and next time I will go ""Stew Less"" because the meat was a bit overcooked for my liking. The flavor of the broth was awesome though but I cooked the meat a tad too long so that it released too much flavor into the broth. The brown rice was perfect.
I have to say that I was impressed at how quickly the pot came to pressure, especially with hot liquid.
I did not heat the liquid for the rice but the braising liquid for the lamb I let heat up on ""saute high"" before I added the lamb and put the lid on. It came up to pressure quickly.
NOTE/TIP: I pre-heated lamb braise liquid mix to simmer because there were diced tomatoes in the braising liquid and I wanted to give a quick stir before placing lid on so they wouldn't sit in one place for long against the super heated bottom and possibly burn before coming to pressure. It is a good trick for me if I have questions with mixes of tomato sauce or sweet items in pot. Simmer/boil it first and stir right before putting lid on to bring it to pressure.

So far I am loving the InstantPot. It's extremely user friendly and appears to be very good quality. It performs as described. I look forward to trying new recipes plus using it along side my stove top cooker.

I'm finding that everything that comes out of a pressure cooker simply tastes better, even simple potatoes and carrots! It's a learning curb with the timings, but once you ""get it"" I think most anyone would agree that food tastes better when cooked in a pressure cooker.

Time will see how well the Instant Pot holds up!

PS: A bag of Trader Joe's Kale, (triple washed)
steamer fan, two cups of water, 5 minutes on LOW pressure, quick release= perfection! No salt needed nor butter or anything else! The natural salt comes out in the Kale! Swoon worthy! I heated the water first on Saute' High to a boil before adding the kale and put the top on.

Update November 4 2015:
I now have 2 Instant Pots, one which is the Smart Pot Blue Tooth model. I use both of them all the time. I've also purchased 3 Duo's for gifts. Everyone loves their Instant Pot!"
Dawn R.,5.0 out of 5 stars,Love this pressure cooker.,"Reviewed in the United States on August 3, 2025","Love this pot. So far I have only pressure cooked. It cleans up easily. The lid can go into the dishwasher, but I hand wash it. It was hard to remove the seal ring the first time, but after that fairly easy because I knew what to do. Can't wait until artichokes are in season. It will be nice to cook them over a shorter time. My first meal was a Cornish game hen. The meat was moist and tender and falling off the bone. Very yummy. I bought the smallest size, perfect for a single person but can also feed a family."
Daimi CM,5.0 out of 5 stars,"Great quality, just too small for me","Reviewed in the United States on July 26, 2025","The Instant Pot is excellent quality, very easy to use, and has super practical features. I loved the stainless steel design and how quickly it cooks. However, I’m returning it because it’s too small for my family’s needs. If you’re looking for a pot for medium portions, it’s perfect."
Lyssa D.,5.0 out of 5 stars,Perfect for Beginners + Game Changer,"Reviewed in the United States on June 23, 2025","This Instant Pot RIO Wide Base has quickly become the MVP of my kitchen. I have used other models before, but this one stands out for its wider base which makes sautéing and browning so much easier. Food cooks more evenly and there is more surface area to work with, which is great when I am prepping meals for family or doing batch cooking.

A few helpful tips for anyone new to the Instant Pot:

Always make sure the silicone sealing ring is properly in place before starting. If the lid does not seal, the pot will not build pressure.

Use the sauté function to brown meat or onions before pressure cooking-it saves time and adds a lot of flavor.

After pressure cooking, give it 10 to 15 minutes to naturally release before doing a quick release. This helps prevent splatter and keeps meat tender.

Keep an extra sealing ring on hand. The ring tends to absorb odors over time, especially after cooking dishes like curry or chili.

Clean the lid and anti-block shield after each use. These small parts are easy to miss but important for safe operation.

The controls are intuitive and easy to use. I was able to make perfectly cooked rice, shredded chicken, and even cheesecake without much effort. It is truly a set-it-and-forget-it kind of appliance that takes the stress out of cooking. The included instructions are clear, but I also recommend watching a quick YouTube tutorial if you are brand new to pressure cooking."
L.P,5.0 out of 5 stars,Súper funcional y de excelente calidad,"Reviewed in the United States on August 19, 2025","Me encantó esta olla multifuncional, es perfecta para una familia no tan grande ya que el tamaño de esta en específico es pequeño, así la quería yo. Se puede cocinar muchísimos alimentos en ella además de ser de muy buen material."
Daily,5.0 out of 5 stars,Durable easy to use,"Reviewed in the United States on August 7, 2025",Every women need one of this on the kitchen. It make your life so easy. Y cook fast and food taste so good. I can do pressure cook my beens or meet . Or i can do sloow cooker my whole chicken. I also can do a stake. It is bigger tian the rest of the insta pot but it worth it .
Aundrea,5.0 out of 5 stars,This has changed the way we eat. It's easier to use than I thought it would be.,"Reviewed in the United States on August 18, 2016","There are so many people who say the can't cook, but I swear I'm on a whole new level of not being able to cook. This little appliance helps expand our menu and I Have learned to do so much with it. I will sum up in a nutshell, I love how easy it is and how I throw everything in it comes out done. No stirring and not many messy dishes. I still don't love it for meats (which I don't eat much of anyway), but I think that's just a matter of needing to experiment more with them. I seriously can't believe how many foods can be cooked in here!

What got me thinking about the IP was talking to a friend at work who is a firefighter. He works long shifts with mostly men, they can't really cook, but they just buy meat and throw it in here. He swore by it. Then someone else chimed in and said they pressure cook a lot. About a month later it went on sale for Prime Day and I picked it up. I am all of a sudden a much, much better cook! There are so many cookbooks for this, my favorite being Hip Pressure Cooking: Fast, Fresh, and Flavorful and there's a wonderful Facebook page where people post their successes and fails, so we can all learn from each other. This whole last month has been wonderful. I'll highlight some things I've tried or heard about:

-Chicken: For the first time every I cooked a whole chicken (see picture of it falling apart). My husband couldn't believe I cooked a whole chicken since I usually buy them at the store already made. It was excellent. I did 6 minutes per pound + 2 minutes. I also cook chicken thighs for dinner about once a week, which I had never cooked before. I do that for 10 minutes with some chicken broth and whichever seasoning sounds good. Ironically enough, I can't get my classic boneless, skinless chicken breasts to turn out, but based on my Facebook group a lot of people have success with them.
-Pot roast: I tried this once and it didn't work great. It was a very lean, thick cut of meat. I heard that the leaner meats are harder to do. Next time I'll try something different.
-Eggs: I can hard boil 30 eggs at once!!! I work 12 hour shifts and eat 4 with my lunch and 4 with my dinner. Since I work 4 days in a row I have to hard boil 32 eggs. I used to use my egg cooker and do 7 at a time, which was a pain. Now it's quick and easy!
-Steel cut oats: Another thing that I never ate before. At one point a couple years ago we tried making them a few times, but it's so annoying having to stir the pot all the time and then half the time I ended up with some crusted on the bottom which was annoying to clean up. Now I use the PIP (pot in the pot) method. I put 1 cup of water in the bottom, then the trivet in, then 1 cup of steel cut oats in a large Pyrex glass dish with 2 1/2 cups of water. I put it on for 10 minutes manual high pressure and walk away. Once the pressure releases and I open it they are perfect! I then divide them up into mason jars and put them in the fridge. At breakfast time I warm them up, add some milk for creaminess and they are perfect. We eat them every single morning now. The only dish I have is the Pyrex bowl and I just rinse the metal pot out since it didn't touch any food.
-Soups: I had never made soup before this. I have made chicken noodle soup many times and everyone loves it. I HATE how chicken noodle soup always has mushy noodles. Not mine! I cook the noodles to how I like them. I've bene wanting to experiment with more soups, but I'll do that in winter.
-Yogurt: Another amazing feature. I've made yogurt 3 times and love it. My 2 year old only eats my yogurt. I can make a gallon of organic yogurt for a fraction of the cost of buying it at the store. It takes some patience, but the hands on work part of it is only about 20 minutes. There's a lot of waiting for things to heat, cool, incubate, set. I've finally learned when to start to have each step finish at the right time. Feel free to ask if you have questions.
-Sides: I found a recipe for a mac and cheese that everyone loves. My daughter and her friends are always begging me for it. The best part? It's only 5 ingredients (pasta, heavy whip, butter, salt and cheese). It also only requires washing a cheese grater and the pot and it only takes 20 minute from start to finish. No hard to pronounce, artificial, food dyed ingredients. I have also mastered spaghetti with meat sauce. Before this I had never once made spaghetti with meat sauce. Now I do it all the time. Again, I only have ONE thing to clean afterwards. If I tried doing with without the IP I would have a pan for the meat, pot for the pasta, strainer. It only takes about 20 minutes start to finish. It can be real simple (meat, jar of sauce, pasta, water) or get really complicated with making your own sauce (even then it's still pretty easy).
-Veggies: Many veggies can be cooked in here. Delicate ones, like broccoli are harder to do. Con on the cob in here is amazing though. Much quicker than any other method.
-Deserts: I haven't made a desert yet, but on my Facebook group a ton of people are making cheesecake. I try to keep deserts out of the house and just have them for special treats when we're out. So I haven't tried this. A ton of people in my Facebook group are doing it and they look like they turn out great.
-Chicken broth: I am not the type of woman who makes chicken broth. My step-mom does that kind of stuff and I look at her like ""why don't you just buy it"". Well, now I am the type of person who makes chicken broth. After throwing a whole chicken in here I take the carcass (I hate that word!) and put it back in with some veggies, set it for 2 hours and it's done! I strain it and then have beautiful, healthy, yummy chicken broth. The first time I did it my husband looked at me like I was cray-cray. Now he helps by saving his bones. There is no better chicken noodle soup that when it's made with homemade broth! Yummy!!!
-Spaghetti squash: This is one food I accepted that it's harder to make than it's worth, so we hadn't eaten it in years. Not anymore! I put it in for 20 minutes without cutting it. When I opened the pot the squash is intact, but with the skin peeling off. It's easy to cut it in half from there, scoop out the seeds and separate it.
-Applesauce: Whenever my apples start getting too soft, I peel them, use my little apple slicer and throw them in here with some cinnamon. There are recipes for if you want to add sugar, lemon, honey, ect. I prefer just apples and cinnamon though since it's healthy and natural. My kids love it. 8 minutes on manual with a natural release. I just stir it with a fork and don't even need to blend it. There are small, very soft chunks. I wish I had this when my son was a baby!

Those are a few of them things I've made. I have learned to experiment more. Since I usually don't have to do many dishes with the IP I tend to enjoy experimenting. I have a cookbook I write all of my successes in. My family is constant surprised at how much this has changed how we eat. I usually don't keep appliances out on my counter, but since I use this at least once a day I never put it away. The only downfall is I think there is a learning curve to it. It's a little intimidating at first and requires some trial and error. I was terrified of almost everything the first time I did it. 90% of everything has come out great. I'm learning what I like to cook and don't like to cook in it. I love that when we have a last minute neighborhood get together (it happens a few times a week) I can whip up a pasta dish and veggie real quick.

Tips (Added Jan 2017):
-Recipes generally don't include time to come to pressure. Think of this is the same as your oven warming up or water boiling. After your food goes in the pot it has the pressurize, then the timer starts counting down. You can speed this up but turning on ""saute"" first. It cuts the time more than in half.
-Instructions have lingo related to you the pressure gets released. First there's natural pressure release (NPR). This is just leaving the pot alone until the pin drops, indicating there's no pressure in the pot. The lid can then be removed safely. Then there's a quick release (QR), which is where you turn the pressure release valve at the far side of the pressure cooker. This takes about a minute and releases a bunch of steam, so you probably don't want this under a cabinet. There is also a chance of some food/fluid coming out, depending on what's in the pot and how full it is. If that happens you can wait for it to do the NPR or you can do short, slow bursts.
-If you're having problems with getting anything to work check all the parts first. Is the silicone ring in place? Is the pin in place and able to move up and down? Is the valve set to ""sealing""? Is there enough water/fluid in the pot to pressurize?

Nov 2016 update: Well, it's not longer sitting on my counter, but I still use it about 2-3 times a week, which is more than any other appliance. I got over the honeymoon period, where I tried EVERY food in here. Now I know what I like and what I don't like in here and I stick with that. I recommend you get 2-3 good cookbooks with this and start finding fun recipes on Pinterest. I keep adding pictures and things in my review."
Sandy Nannen,5.0 out of 5 stars,Review from a confirmed foodaholic,"Reviewed in the United States on January 16, 2014","Over the years, I have purchased hundreds of items from Amazon, and for the most part, got what I expected. I never reviewed any of them. But from the moment I received my Instant Pot, I felt that I had purchased something that not only exceeded my expectations, but will make my life easier (and more delicious)!

I am a holistic nutritionist and a follower of a lower carb/paleo/primal lifestyle (and yes, it is not only a food regimen, but a lifestyle). Many of the meals I prepare require advance planning and preparation, and I am OK with that, realizing that it is an investment in my family's health and wellbeing. I was looking for something that would support my food choices and perhaps make it a little less time-consuming. I have used a crockpot extensively over the past years and while I appreciate the ease of use and the ability to put a meal on the table soon after I got home in the evening, there is that ""everything tastes the same"" factor I was running into with my family.

So I began thinking about ways to cook my meals faster and realized that a pressure cooker may be the answer. But, I am scared of pressure cookers. Even though my head tells me that people have been using them for many years with no problems, my heart said there was a strong chance I could blow up the entire kitchen, myself included. I had no idea there were electric, programmable pressure cookers out there that would virtually eliminate that worry until I began researching them, first on Amazon, and then on other websites. I eventually purchased the Instant Pot over the others because of the stainless steel insert (no aluminum), the size of the pot (I wanted a larger capacity), and the ease of use.

The day it arrived, I plugged it in and began reading the manual. The manual was very helpful, even included a suggested trial run to familiarize one with the basics. My first meal was potato soup (I know potatoes are not low carb or paleo, but once in a while you gotta have potato soup). I was amazed at how easy and delicious it was to make this soup that would normally take a couple of hours. I just coarsely chopped the vegetables, threw those in the pot, added the seasonings and the liquid, started the pressure cooker option, and in 20 minutes all I had to do was use my immersion blender to puree the soup, add some cheese, stir and it was ready to eat. AND the soup was every bit as good as my slower version that keeps me tied to the kitchen to stir and monitor until it's done. That is the hidden beauty of this appliance, that while it's cooking your food, you are free to do other things such as harass your kids to get their homework done. No more watching over a pot!

My second recipe was lemon pepper chicken wings. There is a searing option, so first I browned the wings in a bit of butter, then added lemon pepper, salt, and 2 more tablespoons of butter. Put on the lid, set the pressure cooker for 25 minutes, and out came the most delicious, fall-of-the-bone wings just loaded with flavor. The family went wild!

I also made mushroom gravy (no flour) pork chops in 30 minutes in the pressure cooker - the gravy was so good my son ate in on top of some gluten free noodles the next day for lunch - and a breakfast meat loaf in the slow cooker, also a winner.

I am also using this to reheat food since we don't use the microwave anymore and I'm finding that it seems easier and makes less of a mess than going stovetop.

That's a pretty long review for a first-timer but I am so enthusiastic about this product that I just had to share."
DLO,5.0 out of 5 stars,Wish I got the 6QT instead of the 3QT,"Reviewed in the United States on April 24, 2018","UPDATED - So I finally got the 6QT and oh. my. g... - so wonderful! Such a relief! I can cook 5 lbs of frozen chicken in ONE cycle and have food for my dog for the next week! Yay! And last night I finally made that famous ""soccer mom spaghetti"" (dump a box of pasta, one jar of sauce, a bag of frozen meatballs plus a jar of water in the pot then push a button) and - perfect. I made this same thing in the 3qt about a few times and it never came out right - first the pasta didn't cook, next time the sauce was too watery, etc. With the 6QT - cooked perfectly! And I have FIVE portions of leftovers instead of the 1-2 I had with the smaller I.P.

To put the 3qt vs 6qt in perspective: the 3qt pot does not actually cook 3 quarts because you can't fill it all the way to the top. There's a line that's oh, an inch or two below the lip that's the Max Fill line, because the pressure cooker needs extra room to do its thing. Then, if you're adding the trivet, you're losing another inch of space. So really your cooking space is more like 2 quarts, like a small sauce pan.

Imagine you're cooking ALL of your meals with nothing bigger than a sauce pan.

Then you've got the 6qt pot, which is like the big pots you use to boil pasta. Or make soup.

Pasta pot vs sauce pan. You see what I'm saying?

Anyway, now my problem is that I have to stop cooking so often because I have no more room in my freezer... :)

********
ABOUT THE 3 QT DUO --- As Instant Pots go, I'll not reiterate what everyone else says but agree that it's a game changer, and totally revolutionizes your cooking. However, I have some regrets...

3QT Too Small for Lazy Cooks Like Me --- When I to move into my Airstream trailer full time, I decided to get an Instant Pot as I thought it would help minimize the amount of cooking appliances I needed. And of course, being solo (plus a dog and cat) I figured the 3Qt was the better choice. After 7 months with it, I am desperate to trade my 3Qt for the 6QT. I like cooking, but I'm lazy and would prefer to make a large batch once and have left overs, than have to cook for every meal. Reheating leftovers is far easier to clean up than cooking a fresh meal. I'm lazy at cleaning, too.

Instant Pot Learning Curve --- Instant Pot cooking takes some getting used to, and while there is a great abundance of tips and such online, which are fabulous, about 95% of them are for 6QT or larger. Finding good, appropriate recipes for the 3QT is frustrating and has led to lots of failed meals, as ingredients plus liquids, cooking time, etc are all out of proportion.

Where Are All The Accessories for 3QT? --- In the same vein as above, there are tons and tons of accessories for the Instant Pot, but... they're all for 6QT, not a lot for 3QT. I'm starting to see more 3QT-sized accessories (like steam baskets, gaskets, lids, egg bites silicone molds, etc), but only from, like, a single manufacturer. As opposed to stuff for the 6 qt, where you've got a dozen steam baskets to choose from.

Home Cooked Dog Food --- Finally, as I'm traveling a lot city to city, I've started making food for my dog (an 80lb Labrador) as we could never find the brand of dog kibble that she liked and that was good for her. In this situation, the Instant Pot has been my savior, as it's soooo easy to just plop a bunch of raw, frozen chicken or other meats into the pot, slap on lid, push a button and within the hour, I've got tons of fall-off-the-bone meat for my pup's next breakfast (because I inevitably forget to cook for her the night before, and have to do it right at her mealtime). But normal instances when making a batch of her food, again, because I have the 3QT, I could only cook a portion of the meat, take it out, do a quick scrub of the pot before cooking the other portion - whereas with a 6QT that could be done with just one cycle.

In short, if you're thinking about getting a 3Qt for your first and only Instant Pot, don't! Just go for the 6Qt and make your life much easier."
Nelly Navarro Juarez,5.0 out of 5 stars,Excelente producto,"Reviewed in Mexico on July 11, 2025","Ame este producto, cumple con mis objetivos de tiempo me agiliza todo lo que cuezo, lo único es que no le cabe mucha cantidad"
Dee L. Ramon,4.0 out of 5 stars,Great for cheesecake.,"Reviewed in the United States on July 21, 2025","So I have 4 other Instapots of various sizes and ages. I got this one because I liked the idea of the wider base. Below is based on taking out of box and doing a pressure test.

Plus - steam release button is farther away - bit safety plus
Downside - no place to put the lid of the base and the lid is large and HEAVY. To me this is a big disadvantage.
The popup button for when pressure is achieved is very hard to see, it is recessed. Now this may be for safety, but it makes it hard to see from a distance or if you are short. Yes I know it can be seen on panel, but many times I may not be directly in front, as it is typically on the island.
The wider base takes up much more cabinet space.

The wider base gives much more room for cheesecake pans. This makes the removal much easier.

The wider base allows sauting more at a time."
noguaynabita,5.0 out of 5 stars,What a convenient little pot!!,"Reviewed in the United States on August 20, 2025","Got a 3 qt pot. I first used to cook dry beans, which are so hard to soften. After soaking them on water for 4 hours I cooked it in pressure mode, 20 mins only! Another day I cooked chili by just throwing all ingredients and pressure cooking them for 25 mins. Perfect! I can't wait to do some slow cooking and some yogurt. I love it!"
